Content,EventTemplate,Variables
Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.,-
WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,WARNING: Type1 font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,1
"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is 20171224 oldDay is 20171223","checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>","[20171224,20171223]"
ARPT: 739241.687186: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,ARPT: <*>.<*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>,"[739241,687186,0x8001,0x0,0x26,0,3,0 0 0 0]"
getBinderPackageName packageName = com.huawei.health,getBinderPackageName packageName = com.huawei.health,-
"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES   (Topics: ( ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ))",<IMMacNotificationCenterManager: <*>>: Updating enabled: YES   (Topics: (<*>)),"[0x7ff1b2e00ba0, ""com.apple.private.alloy.icloudpairing"", ""com.apple.private.alloy.continuity.encryption"", ""com.apple.private.alloy.continuity.activity"", ""com.apple.ess"", ""com.apple.private.ids"", ""com.apple.private.alloy.phonecontinuity"", ""com.apple.madrid"", ""com.apple.private.ac"", ""com.apple.private.alloy.phone.auth"", ""com.apple.private.alloy.keychainsync"", ""com.apple.private.alloy.fmf"", ""com.apple.private.alloy.sms"", ""com.apple.private.alloy.screensharing"", ""com.apple.private.alloy.maps"", ""com.apple.private.alloy.thumper.keys"", ""com.apple.private.alloy.continuity.tethering"" ]"
force load/store alignment...............0,force load/store alignment...............<*>,0
"bitmap_size 0x7f0fc, previewSize 0x4028, writing 485676 pages @ 0x97144","bitmap_size <*>, previewSize <*>, writing <*> pages @ <*>","[0x7f0fc,0x4028,485676,0x97144]"
Failed to connect (view) outlet from (NSApplication) to (NSColorPickerGridView): missing setter or instance variable,Failed to connect (view) outlet from (NSApplication) to (NSColorPickerGridView): missing setter or instance variable,-
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,40984
"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id","mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",-
[client 61.220.139.68] Directory index forbidden by rule: /var/www/html/,[client <*>] Directory index forbidden by rule: <*>,"[61.220.139.68,/var/www/html/]"
"Total usable vcpus: 16, total allocated vcpus: 0","Total usable vcpus: <*>, total allocated vcpus: <*>","[16,0]"
"hibernate_alloc_pages act 107794, inact 10088, anon 460, throt 0, spec 58021, wire 572831, wireinit 39927","hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>","[107794,10088,460,0,58021,572831,39927]"
Internal name did not resolve to internal address!,Internal name did not resolve to internal address!,-
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total vcpu: 16 VCPU, used: 0.00 VCPU","[instance: <*>] Total vcpu: <*> VCPU, used: <*>.<*> VCPU","[faf974ea-cba5-4e1b-93f4-3a3bc606006f,16,0,00]"
00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> PopulateComponentFamiliesKey - Begin,"[00000008,2016,9,28,16,00,46,635]"
KeychainGetICDPStatus: keychain: -25300,KeychainGetICDPStatus: keychain: <*>,-25300
-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: 0x7f9951214ca0>.,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>>.,0x7f9951214ca0
Temperature (41C) exceeds warning threshold,Temperature (<*>C) exceeds warning threshold,41
tcp_connection_tls_session_error_callback_imp 2210 tcp_connection_tls_session_handle_read_error.790 error 60,tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.<*> error <*>,"[2210,790,60]"
"getAppContext() isAppValid health or wear, packageName = com.huawei.health","getAppContext() isAppValid health or wear, packageName = <*>",com.huawei.health
"screen status unknown,think screen on","screen status unknown,think screen on",-
"upLoadOneMinuteDataToEngine time=25233979,0,46,0,20002","upLoadOneMinuteDataToEngine time=<*>,<*>,<*>,<*>,<*>","[25233979,0,46,0,20002]"
**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- 0x2800 ****,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = TRUE -- <*> ****,0x2800
"RTC: Maintenance 2017/7/7 17:31:21, sleep 2017/7/7 17:18:49","RTC: Maintenance <*>/<*>/<*> <*>:<*>:<*>, sleep <*>/<*>/<*> <*>:<*>:<*>","[2017,7,7,17,31,21,2017,7,7,17,18,49]"
10.251.122.65:50010 Served block blk_2866275036574950116 to /10.250.11.53,<*>:<*> Served block blk_<*> to /<*>,"[10.251.122.65,50010,2866275036574950116,10.250.11.53]"
Wake reason: EC.SleepTimer (SleepTimer),Wake reason: EC.SleepTimer (SleepTimer),-
Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,Compute_service record updated for <*>,cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us
[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- 0x7000,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,0x7000
"arp_client_transmit(en0) failed, Network is down (50)","arp_client_transmit(<*>) failed, Network is down (<*>)","[en0,50]"
"CE sym 20, at 0x01228120, mask 0x10","CE sym <*>, at <*>, mask <*>","[20,0x01228120,0x10]"
"CE sym 5, at 0x11042a80, mask 0x04","CE sym <*>, at <*>, mask <*>","[5,0x11042a80,0x04]"
instruction cache parity error corrected,instruction cache parity error corrected,-
instruction cache parity error corrected,instruction cache parity error corrected,-
instruction cache parity error corrected,instruction cache parity error corrected,-
instruction cache parity error corrected,instruction cache parity error corrected,-
instruction cache parity error corrected,instruction cache parity error corrected,-
instruction cache parity error corrected,instruction cache parity error corrected,-
instruction cache parity error corrected,instruction cache parity error corrected,-
instruction cache parity error corrected,instruction cache parity error corrected,-
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] VM Stopped (Lifecycle Event),[instance: <*>] VM Stopped (Lifecycle Event),c62f4f25-982c-4ea2-b5e4-93000edfcfbf
"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.","<*> Store coherency cookie matches last scavenge cookie, skipping scavenge.",0000000b
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,"[0,438,0xffffffff]"
tcp_connection_destination_handle_tls_close_notify 111 closing socket due to TLS CLOSE_NOTIFY alert,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,111
Bluetooth -- LE is supported - Disable LE meta event,Bluetooth -- LE is supported - Disable LE meta event,-
"Disabling manifest caching, because the image is not writeable.","Disabling manifest caching, because the image is not writeable.",-
2017-07-06 00:30:37.064 ksfetch[36439/0x7fff79824000] [lvl=2] main() Fetcher is exiting.,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() Fetcher is exiting.,"[2017,07,06,00,30,37,064,36439,0x7fff79824000,2]"
00000003@2016/9/28:16:00:46.213 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fef9d98728 @0x7fef9d98856 @0xffeee474 @0xffeed7de @0xffeedb2f),<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),"[00000003,2016,9,28,16,00,46,213,0.0.0.6,0x7fed875eb5d @0x7fef9d98728 @0x7fef9d98856 @0xffeee474 @0xffeed7de @0xffeedb2f]"
[11:48:06.869] FigAgglomeratorSetObjectForKey signalled err=-16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/LegibleOutput/FigAgglomerator.c line 92,[<*>:<*>:<*>.<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (NULL key) at <*> line <*>,"[11,48,06,869,-16020,/Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/LegibleOutput/FigAgglomerator.c,92]"
Error in CoreDragRemoveReceiveHandler: -1856,Error in CoreDragRemoveReceiveHandler: <*>,-1856
"PM response took 113 ms (24144, WeChat)","PM response took <*> ms (<*>, WeChat)","[113,24144]"
host connection <NSXPCConnection: 0x7fddbbb015c0> connection from pid 30298 invalidated,host connection <NSXPCConnection: <*>> connection from pid <*> invalidated,"[0x7fddbbb015c0,30298]"
ARPT: 790457.609414: AirPort_Brcm43xx::powerChange: System Sleep,ARPT: <*>.<*>: AirPort_<*>::powerChange: System Sleep,"[790457,609414,Bc43xxrm]"
[IOBluetoothHostController::setConfigState] calling registerService,[IOBluetoothHostController::setConfigState] calling registerService,-
INIT -- Host controller is published,INIT -- Host controller is published,-
TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,-
ARPT: 728046.456828: wl0: setup_keepalive: Local IP: 10.142.108.38,ARPT: <*>.<*>: wl0: setup_keepalive: Local IP: <*>,"[728046,456828,10.142.108.38]"
ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,ciod: LOGIN chdir(<*>) failed: No such file or directory,/p/gb2/glosli/8M_5000K/t800
"ARPT: 770226.223664: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: <*>.<*>: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,","[770226,223664,0]"
[HID] [MT] AppleActuatorHIDEventDriver::start entered,[HID] [MT] AppleActuatorHIDEventDriver::start entered,-
"CE sym 28, at 0x110067e0, mask 0x02","CE sym <*>, at <*>, mask <*>","[28,0x110067e0,0x02]"
"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1","<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>","[1,0,25,1]"
"CE sym 14, at 0x06047860, mask 0x20","CE sym <*>, at <*>, mask <*>","[14,0x06047860,0x20]"
Targeting domains:node-D2 and nodes:node-84,Targeting domains:node-D<*>and nodes:node-<*>,"[2 ,84]"
RTC: PowerByCalendarDate setting ignored,RTC: PowerByCalendarDate setting ignored,-
"CCFile::captureLogRun Skipping current file Dir file [2017-07-08_02,32,46.787931]-AirPortBrcm4360_Logs-004.txt, Current File [2017-07-08_02,32,46.787931]-AirPortBrcm4360_Logs-004.txt","CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, Current File [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>","[2017,07,08,02,32,46,787931,AirPortBrcm4360_Logs-004.txt,2017,07,08,02,32,46,787931,AirPortBrcm4360_Logs-004.txt]"
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] vcpu limit not specified, defaulting to unlimited","[instance: <*>] vcpu limit not specified, defaulting to unlimited",faf974ea-cba5-4e1b-93f4-3a3bc606006f
"ARPT: 683604.474196: IOPMPowerSource Information: onSleep,  SleepType: Standby,  'ExternalConnected': No, 'TimeRemaining': 578,","ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Standby,  'ExternalConnected': No, 'TimeRemaining': <*>,","[683604,474196,578]"
extension com.apple.ncplugin.WorldClock -> (null),extension com.apple.ncplugin.WorldClock -> (null),-
"CE sym 2, at 0x1b85f080, mask 0x02","CE sym <*>, at <*>, mask <*>","[2,0x1b85f080,0x02]"
SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],0x80004005
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU","[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU","[faf974ea-cba5-4e1b-93f4-3a3bc606006f,2048,20,1]"
"CE sym 2, at 0x1b85fe80, mask 0x02","CE sym <*>, at <*>, mask <*>","[2,0x1b85fe80,0x02]"
17:23:43.193 : Scanning mode Contacts Only,<*>:<*>:<*>.<*> : Scanning mode Contacts Only,"[17,23,43,193]"
Saved output of task 'attempt_201706092018_0025_m_000001_1180' to hdfs://10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000001,Saved output of task 'attempt_<*>' to hdfs://<*>,"[201706092018_0025_m_000001_1180,10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000001]"
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
data TLB error interrupt,data TLB error interrupt,-
"CE sym 10, at 0x08d10580, mask 0x08","CE sym <*>, at <*>, mask <*>","[10,0x08d10580,0x08]"
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,"[0,51,4294967295]"
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
full wake request (reason 2) 30914 ms,full wake request (reason <*>) <*> ms,"[2,30914]"
ARPT: 787923.793193: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,ARPT: <*>.<*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,"[787923,793193]"
QQ(10018) deny mach-lookup com.apple.networking.captivenetworksupport,<*>(<*>) deny mach-lookup com.apple.networking.captivenetworksupport,"[QQ,10018]"
en0: 802.11d country code set to 'US'.,en0: <*>.<*> country code set to '<*>'.,"[802,11d,US]"
hibernate_flush_memory: buffer_cache_gc freed up 3349 wired pages,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,3349
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
data storage interrupt,data storage interrupt,-
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
data address: 0x00000002,data address: <*>,0x00000002
data address: 0x00000002,data address: <*>,0x00000002
machine check: i-fetch......................0,machine check: i-fetch......................<*>,0
machine check: i-fetch......................0,machine check: i-fetch......................<*>,0
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,0
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
data storage interrupt,data storage interrupt,-
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
data storage interrupt,data storage interrupt,-
data address: 0x00000002,data address: <*>,0x00000002
data storage interrupt,data storage interrupt,-
data address: 0x00000002,data address: <*>,0x00000002
data address: 0x00000002,data address: <*>,0x00000002
data storage interrupt,data storage interrupt,-
data address: 0x00000002,data address: <*>,0x00000002
machine check: i-fetch......................0,machine check: i-fetch......................<*>,0
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data storage interrupt,data storage interrupt,-
data address: 0x00000002,data address: <*>,0x00000002
instruction address: 0x00004ed8,instruction address: <*>,0x00004ed8
exception syndrome register: 0x00800000,exception syndrome register: <*>,0x00800000
exception syndrome register: 0x00800000,exception syndrome register: <*>,0x00800000
exception syndrome register: 0x00800000,exception syndrome register: <*>,0x00800000
exception syndrome register: 0x00800000,exception syndrome register: <*>,0x00800000
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,0
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,0
data address: 0x00000002,data address: <*>,0x00000002
exception syndrome register: 0x00800000,exception syndrome register: <*>,0x00800000
machine check: i-fetch......................0,machine check: i-fetch......................<*>,0
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,0
machine check: i-fetch......................0,machine check: i-fetch......................<*>,0
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,0
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,0
program interrupt: illegal instruction......0,program interrupt: illegal instruction......<*>,0
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,0
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,0
program interrupt: trap instruction.........0,program interrupt: trap instruction.........<*>,0
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,0
store operation.............................1,store operation.............................<*>,1
store operation.............................1,store operation.............................<*>,1
machine state register: 0x00002000,machine state register: <*>,0x00002000
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,0
"problem state (0=sup,1=usr).......0","problem state (<*>=sup,<*>=usr).......<*>","[0,1,0]"
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,0
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,0
floating point instr. enabled.....1,floating point instr. enabled.....<*>,1
floating point instr. enabled.....1,floating point instr. enabled.....<*>,1
floating point instr. enabled.....1,floating point instr. enabled.....<*>,1
auxiliary processor.........................0,auxiliary processor.........................<*>,0
machine check enable..............0,machine check enable..............<*>,0
machine check enable..............0,machine check enable..............<*>,0
floating pt ex mode 0 enable......0,floating pt ex mode <*> enable......<*>,"[0,0]"
program interrupt: unimplemented operation..0,program interrupt: unimplemented operation..<*>,0
debug interrupt enable............0,debug interrupt enable............<*>,0
floating pt ex mode 1 enable......0,floating pt ex mode <*> enable......<*>,"[1,0]"
byte ordering exception.....................0,byte ordering exception.....................<*>,0
byte ordering exception.....................0,byte ordering exception.....................<*>,0
data address space................0,data address space................<*>,0
data address space................0,data address space................<*>,0
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,0
core configuration register: 0x00002000,core configuration register: <*>,0x00002000
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,0
program interrupt: fp cr update.............0,program interrupt: fp cr update.............<*>,0
guaranteed instruction cache block touch.0,guaranteed instruction cache block touch.<*>,0
guaranteed instruction cache block touch.0,guaranteed instruction cache block touch.<*>,0
